,date,home,score,away_team
397,11-09-2022,Ajaccio,0 - 1,Nice
398,18-09-2022,Nice,0 - 1,Angers
399,01-10-2022,Paris SG,2 - 1,Nice
400,09-10-2022,Nice,3 - 2,Troyes
401,16-10-2022,Auxerre,1 - 1,Nice
402,23-10-2022,Nice,1 - 1,Nantes
403,30-10-2022,Lorient,1 - 2,Nice
404,06-11-2022,Nice,1 - 0,Brest
405,11-11-2022,Lyon,1 - 1,Nice
406,29-12-2022,Nice,0 - 0,Lens
407,02-01-2023,Rennes,2 - 1,Nice
408,11-01-2023,Nice,6 - 1,Montpellier
409,15-01-2023,Reims,0 - 0,Nice
410,29-01-2023,Nice,1 - 0,Lille
411,01-02-2023,Lens,0 - 1,Nice
412,05-02-2023,Marseille,1 - 3,Nice
413,10-02-2023,Nice,3 - 0,Ajaccio
414,18-02-2023,Nice,0 - 0,Reims
415,26-02-2023,Monaco,0 - 3,Nice
416,03-03-2023,Nice,1 - 1,Auxerre
417,12-03-2023,Nantes,2 - 2,Nice
418,19-03-2023,Nice,1 - 1,Lorient
419,02-04-2023,Angers,1 - 1,Nice
420,08-04-2023,Nice,0 - 2,Paris SG
421,06-08-2022,Clermont,0 - 5,Paris SG
422,13-08-2022,Paris SG,5 - 2,Montpellier
423,21-08-2022,Lille,1 - 7,Paris SG
424,28-08-2022,Paris SG,1 - 1,Monaco
425,31-08-2022,Toulouse,0 - 3,Paris SG
426,03-09-2022,Nantes,0 - 3,Paris SG
427,10-09-2022,Paris SG,1 - 0,Brest
428,18-09-2022,Lyon,0 - 1,Paris SG
429,01-10-2022,Paris SG,2 - 1,Nice
430,08-10-2022,Reims,0 - 0,Paris SG
431,16-10-2022,Paris SG,1 - 0,Marseille
432,21-10-2022,Ajaccio,0 - 3,Paris SG
433,29-10-2022,Paris SG,4 - 3,Troyes
434,06-11-2022,Lorient,1 - 2,Paris SG
435,13-11-2022,Paris SG,5 - 0,Auxerre
436,28-12-2022,Paris SG,2 - 1,Strasbourg
437,01-01-2023,Lens,3 - 1,Paris SG
438,11-01-2023,Paris SG,2 - 0,Angers
439,15-01-2023,Rennes,1 - 0,Paris SG
440,29-01-2023,Paris SG,1 - 1,Reims
441,01-02-2023,Montpellier,1 - 3,Paris SG
442,04-02-2023,Paris SG,2 - 1,Toulouse
443,11-02-2023,Monaco,3 - 1,Paris SG
444,19-02-2023,Paris SG,4 - 3,Lille
445,26-02-2023,Marseille,0 - 3,Paris SG
446,04-03-2023,Paris SG,4 - 2,Nantes
447,11-03-2023,Brest,1 - 2,Paris SG
448,19-03-2023,Paris SG,0 - 2,Rennes
449,02-04-2023,Paris SG,0 - 1,Lyon
450,08-04-2023,Nice,0 - 2,Paris SG
451,15-04-2023,Paris SG,? - ?,Lens
452,07-08-2022,Marseille,4 - 1,Reims
453,14-08-2022,Reims,2 - 4,Clermont
454,21-08-2022,Strasbourg,1 - 1,Reims
455,28-08-2022,Reims,1 - 1,Lyon
456,31-08-2022,Angers,2 - 4,Reims
457,04-09-2022,Reims,1 - 1,Lens
458,11-09-2022,Toulouse,1 - 0,Reims
459,18-09-2022,Reims,0 - 3,Monaco
460,02-10-2022,Troyes,2 - 2,Reims
461,08-10-2022,Reims,0 - 0,Paris SG
462,15-10-2022,Lorient,0 - 0,Reims
463,23-10-2022,Reims,2 - 1,Auxerre
464,30-10-2022,Brest,0 - 0,Reims
465,06-11-2022,Reims,1 - 0,Nantes
